"公司代號","公司名稱","召開法人說明會日期","召開法人說明會時間","召開法人說明會地點","法人說明會擇要訊息","法人說明會簡報內容-中文","法人說明會簡報內容-英文","公司網站是否有提供法人說明會相關資訊","影音連結資訊","其他應敘明事項","歷年法人說明會"
"1477","聚陽","115/02/25","15:00","台北101大樓","介紹本公司之營運概況及經營策略等財務業務相關資料","147720251110M002.pdf","147720251110E002.pdf","http://www.makalot.com.tw","","無","查詢"
"1605","華新","115/02/26","16:00","線上法說會","本公司自辦法人說明會說明114年第4季財務報告相關資訊。","160520260226M001.pdf","160520260226E001.pdf","https://www.walsin.com/investors/investor-conference/#pills-investor-conference",同步收看網址：:https://wms.gridow.com/ir/walsin/walsin_25Q4.html 法說會影音連結資訊:未輸 ,"無","查詢"
"2015","豐興","115/02/26","14:00","線上法人說明會","本公司受邀參加國票綜合證券法人說明會-114年第四季營運狀況報告","內容檔案於當日會後公告於公開資訊觀測站","內容檔案於當日會後公告於公開資訊觀測站","https://www.fenghsin.com.tw","","報名請洽國票綜合證券王小姐02-25286999#658 Email:vivianwang@ibfs.com.tw","查詢"
"2059","川湖","115/02/25","14:00","線上法說會","本公司受邀參加由富邦證券舉辦之法人說明會，說明本公司114年度營運概況、財務及業務相關資訊。","205920260224M001.pdf","205920260224E001.pdf","https://www.kingslide.com/",中文影音檔網址:2059_81_20260225_ch.mp4 ,"無","查詢"
"2301","光寶科","115/02/25","14:00","本公司(臺北市內湖區瑞光路392號1樓國際會議廳)","本公司114年第4季財務業務情形。","230120260225M001.pdf","230120260225E001.pdf","https://www.liteon.com/zh-tw",中文影音檔網址:2301_318_20260225_ch.mp4 ,"本次法說會為實體會議，不另外進&#12175;線上直播。","查詢"
"2308","台達電","115/02/26","15:00","台達電子瑞光大樓","本公司自辦法人說明會，說明114年第4季財務報告相關資訊","230820260226M001.pdf","230820260226E001.pdf","https://www.deltaww.com/zh-TW/investors/analyst-meeting",同步收看網址：:https://www.deltaww.com/zh-TW/investors/analyst-meeting 法說會影音連結資訊:https://www.deltaww.com/zh-TW/investors/analyst-meeting ,"無","查詢"
"2317","鴻海","115/02/25 至 115/03/02","09:00","桃園市蘆竹區南青路1188號、台北市內湖區基湖路32號","115年2月25日受Goldman Sachs邀請參加投資人會議，說明本公司營運概況。
115年3月2日受CLSA邀請參加投資人會議，說明本公司營運概況。
115年3月2日受NewStreet Research邀請參加投資人會議，說明本公司營運概況。","231720251112M001.pdf","231720251112E001.pdf","","","無","查詢"
"2317","鴻海","115/02/26","14:00","電話會議","115年2月26日受第一金證券邀請參加投資人會議，說明本公司營運概況。","231720251112M001.pdf","231720251112E001.pdf","","","無","查詢"
"2317","鴻海","115/02/02 至 115/02/06","16:30","台北市信義區松仁路7號、W Hotel","115年2月2日受UBS邀請參加投資人會議，說明本公司營運概況。
114年2月6日受Nomura邀請參加投資人會議，說明本公司營運概況。","231720251112M001.pdf","231720251112E001.pdf","","","無","查詢"
"2327","國巨*","115/02/25","16:00","線上電話會議","本公司於115/02/25受邀參加由摩根士丹利證券舉辦之線上法說會，說明114年第四季營運成果，
並就公司營運展望及產業概況向投資機構做說明。","232720260225M001.pdf","232720260225E001.pdf","https://www.yageo.com/zh-TW/Download/Index/investor_conference#bottom_link_title","","公司網站https://www.yageogroup.com/About/InvestorRelations/InvestorConference","查詢"
"2328","廣宇","115/02/03","11:00","無","本公司受邀參加BNP Paribas舉辦之投資人說明會議，說明本公司營運概況。","232820260202M001.pdf","232820260202E001.pdf","https://www.panpi.com.tw/tw/investor_service/corporate_governance/investor_meeting","","無","查詢"
"2344","華邦電","115/02/10","15:00","台北艾麗希爾頓格芮精選酒店5F楓柏廳 (台北市信義區松高路18號)","本公司舉行114年第四季度法人說明會，將於會中就公司114年第四季度財務數字與營運概況做說明","234420260210M001.pdf","234420260210E001.pdf","http://www.winbond.com/",同步收看網址：:https://wms.gridow.com/ir/winbond/winbond_25Q4.html 法說會影音連結資訊:https://wms.gridow.com/ir/winbond/winbond_25Q4.html ,"無","查詢"
"2360","致茂","115/02/25","14:30","桃園市龜山區文茂路88號(本公司會議室)","2025年第四季營運結果","236020260225M001.pdf","236020260225E001.pdf","http://www.chromaate.com",法說會影音連結資訊:https://www.chromaate.com/tw/investors/quarterly_results ,"無","查詢"
"2409","友達","115/02/10","14:00","茹曦酒店5樓 斯賓諾莎宴會廳 (台北市松山區敦化北路100號)","114年第四季法人說明會","240920260210M001.pdf","240920260210E001.pdf","https://auo.com/zh-TW/Investor_Conference/index",中文影音檔網址:2409_214_20260210_ch.mp4 英文影音檔網址:2409_214_20260210_en.mp4 ,"影音資訊於當日會後上傳","查詢"
"2412","中華電","115/02/03","16:00","電話會議","114年第4季營運成果資料於法人說明會當日15:30後至https://www.cht.com.tw/chtir下載","241220260203M003.pdf","241220260203E003.pdf","https://www.cht.com.tw/chtir",同步收看網址：:https://www.cht.com.tw/chtir 法說會影音連結資訊:https://www.cht.com.tw/chtir ,"電話會議時間16:00~17:00","查詢"
"2419","仲琦","115/02/26","14:00","台北市大安區敦化南路二段333號18樓","本公司受邀參加國泰證券舉辦之法說會，說明本公司之營運成果及未來展望。","241920260226M001.pdf","241920260226E001.pdf","https://www.hitrontech.com/zh-tw/investors/events-investor-conference/",法說會影音連結資訊:未輸 ,"無","查詢"
"2454","聯發科","115/02/04","15:00","線上法說會","&#8206;(1) 公布本公司2025年第4季財務報告及2026年第1季業績展望。 (2) 參加方式：請參見https://www.mediatek.com/zh-&#8206;tw/investor-relations/financial-information#quarterly-earnings-&#8206;release &#8206;","245420260204M001.pdf","245420260204E001.pdf","https://www.mediatek.com",同步收看網址：:https://ottlive.hinet.net/webapp/mediatek/watch?v=3556 法說會影音連結資訊:https://ottlive.hinet.net/webapp/mediatek/watch?v=3556 ,"無","查詢"
"2474","可成","115/02/03","14:00","線上法說會","本公司受邀參加元富證券舉辦之法人座談會，會中就本公司已公開發佈之財務數字、經營績效等相關資訊進行說明，詳情請參閱公開資訊觀測站。","247420251106M001.pdf","247420251106E001.pdf","",法說會影音連結資訊:未輸 ,"無","查詢"
"2488","漢平","115/02/25","14:00","本公司生產大樓六樓(台南市仁德區中正路三段256號)","本公司2025年度財務暨營運報告","248820260225M001.pdf","248820260225E001.pdf","http://www.hanpin.com.tw/C_2_Press_01.html",法說會影音連結資訊:http://www.hanpin.com.tw/C_2_Press_01.html ,"無","查詢"
"2762","世界健身-KY","115/02/27","21:00","線上訪談","應美國IPO Edge 邀請，說明公司營運狀況","276220251208M001.pdf","276220251208E001.pdf","https://investor.worldgymtaiwan.com/shareholders-li-conference","","無。","查詢"
"2838","聯邦銀","115/02/26","14:00","直播網址 https://www.zucast.com/webcast/P1WW0nHV","2025年第四季財業務資訊","283820260225M002.pdf","283820260225E002.pdf","https://www.ubot.com.tw/investors",法說會影音連結資訊:https://www.zucast.com/webcast/P1WW0nHV ,"無","查詢"
"2884","玉山金","115/02/24","15:30","玉山金控第一總部大樓","2025年第4季財業務資訊","288420260224M001.pdf","288420260224E001.pdf","https://www.esunfhc.com/zh-tw/investor-relations/ir-events/investor-conference",法說會影音連結資訊:https://www.zucast.com/webcast/620R160u 英文網址:https://www.zucast.com/webcast/zpEEjeoa ,"無","查詢"
