"公司代號","公司名稱","召開法人說明會日期","召開法人說明會時間","召開法人說明會地點","法人說明會擇要訊息","法人說明會簡報內容-中文","法人說明會簡報內容-英文","公司網站是否有提供法人說明會相關資訊","影音連結資訊","其他應敘明事項","歷年法人說明會"
"1101","台泥","115/03/23","14:00","富邦金融大樓(台北巿大安區仁愛路四段169號15樓)","本公司受邀參加富邦證券舉辦之法人座談會，會中說明本公司營運簡介、ESG、公司未來展望","內容檔案於當日會後公告於公開資訊觀測站","內容檔案於當日會後公告於公開資訊觀測站","https://www.taiwancement.com/tw/ir_investor-meetings.html",法說會影音連結資訊:未輸 ,"無","查詢"
"1102","亞泥","115/03/16","14:00","線上法說會","亞洲水泥舉辦2025年第四季線上法說會","110220260316M001.pdf","110220260316E001.pdf","https://www.acc.com.tw/",中文影音檔網址:1102_110_20260316_ch.mp4 ,"請於特定日期前完成線上報名，報名網址：https://pse.is/8s8raj","查詢"
"1216","統一","115/03/13","14:00","香港","本公司與統一中控舉行聯合法說會，報告114年全年度之營運與財務概況。","121620260312M001.pdf","121620260312E001.pdf","https://www.uni-president.com.tw/invest/index.html","","無。","查詢"
"1301","台塑","115/03/13","14:00","台北市中山北路二段39巷3號4樓(晶華國際酒店)","本公司受邀參加華南永昌證券法人說明會，說明本公司營運概況。","130120260312M001.pdf","130120260312E001.pdf","http://www.fpc.com.tw/fpcw/index.php?op=res&amp;id=13&amp;c=22","","無","查詢"
"1303","南亞","115/03/13","11:00","台北艾麗酒店","本公司受邀參加中國信託證券舉辦之法人說明會，說明本公司之營運概況","130320260312M001.pdf","130320260312E001.pdf","http://www.npc.com.tw",法說會影音連結資訊:https://www.npc.com.tw/j2npc/zhtw/investor/Earnings%20Conference ,"無","查詢"
"1303","南亞","115/03/03","10:50","台北晶華酒店","本公司受邀參加元大證券舉辦之法人說明會，說明本公司之營運概況","130320260302M002.pdf","130320260302E002.pdf","http://www.npc.com.tw","","無","查詢"
"1304","台聚","115/03/20","14:00","實體暨線上法說會：台北市民生東路三段156號15F會議室","本公司受邀參加群益金鼎證券舉辦之法人說明會：
(1)114年第4季主要產品市場回顧及展望
(2)114年第4季公司財務資訊","內容檔案於當日會後公告於公開資訊觀測站","內容檔案於當日會後公告於公開資訊觀測站","https://www.usife.com.tw/zh-tw/dirInvestor/frmInvestor7",法說會影音連結資訊:未輸 ,"報名連結:https://www.surveycake.com/s/WQzeD 活動信箱:capitaldiid@capital.com.tw","查詢"
"1305","華夏","115/03/18","14:30","台北市信義區信義路五段7號1樓(臺灣證券交易所資訊展示中心)","(1)2025年回顧及2026年Q1展望 (2)公司2025年財務資訊","130520260318M001.pdf","130520260318E001.pdf","https://www.cgpc.com.tw/zh-tw/dirServices/frmServices8.aspx",同步收看網址：:https://webpro.twse.com.tw/WebPortal/ 法說會影音連結資訊:https://webpro.twse.com.tw/WebPortal/vod/101/4DB85AFEE844-9105010C-229D-11F1-9B4E/?categoryId=101 ,"無。","查詢"
"1307","三芳","115/03/30","14:00","中信證券忠孝分公司(台北市中正區忠孝西路一段6號4樓)","本公司受邀參加中信證券法人說明會,說明本公司之營運狀況","內容檔案於當日會後公告於公開資訊觀測站","內容檔案於當日會後公告於公開資訊觀測站","https://www.sanfang.com/",法說會影音連結資訊:未輸 ,"內容檔案於當日會後公告於公開資訊觀測站","查詢"
"1308","亞聚","115/03/20","14:00","實體暨線上法說會:台北市民生東路三段156號15樓會議室","本公司受邀參加群益金鼎證券舉辦之法人說明會。法說會內容:(1)公司簡介及產品介紹(2)114年第4季營運概況及展望(3)114年第4季財務資訊","內容檔案於當日會後公告於公開資訊觀測站","內容檔案於當日會後公告於公開資訊觀測站","https://www.apc.com.tw/zh-tw/dirServices/frmServices8.aspx",法說會影音連結資訊:未輸 ,"報名網址:https://www.surveycake.com/s/WQzeD活動信箱: capitaldiid@capital.com.tw","查詢"
"1309","台達化","115/03/20","15:30","台北市民生東路三段156號15樓會議室","本公司受邀參加群益金鼎證券舉辦之法人說明會： (1)114年第4季主要產品市場回顧及展望 (2)114年第4季公司財務資訊","內容檔案於當日會後公告於公開資訊觀測站","內容檔案於當日會後公告於公開資訊觀測站","https://www.ttc.com.tw/zh-tw/dirServices/frmServices8.aspx",法說會影音連結資訊:未輸 ,"報名連結：https://www.surveycake.com/s/WQzeD活動信箱: capitaldiid@capital.com.tw","查詢"
"1319","東陽","115/03/10","13:30","台北晶華酒店4樓","本公司受永豐金證券邀請參加於115年3月10日舉辦之「2026年Q1產業論壇」，說明本公司之營運概況、財務及業務狀況相關事宜。","131920260304M001.pdf","131920260304E001.pdf","http://www.tyg.com.tw",中文影音檔網址:1319_140_20260310_ch.mp4 ,"無","查詢"
"1338","廣華-KY","115/03/18","14:00","線上法說會(Webex線上會議)","本公司受邀參加國票證券與IR Trust共同舉辦之廣華(1338)線上法說會，有意報名者請洽國票綜合證券法人部王佩暄副理，電話：(02)2528-6999轉658 Email:vivianwang@ibfs.com.tw。","133820260318M001.pdf","133820260318E001.pdf","",中文影音檔網址:1338_39_20260318_ch.mp4 ,"完整財務業務資訊請至公開資訊觀測站之法人說明會一覽表或法說會項目下查閱。","查詢"
"1473","台南","115/03/19","14:00","線上法人說明會","報告公司簡介及營運狀況","內容檔案於當日會後公告於公開資訊觀測站","內容檔案於當日會後公告於公開資訊觀測站","https://www.tai-nan.com/shareholder-call.php",法說會影音連結資訊:未輸 ,"WEBEX會議號碼：2514 154 4839,會議密碼：vEN3JrmR4a2","查詢"
"1476","儒鴻","115/03/17","14:30","台北市大安區仁愛路三段157號三樓D廳(元大金融廣場)","本公司受邀參加元大證券舉辦之法人說明會，會中說明本
公司產業概況、營運成果及未來展望。","147620260317M001.pdf","147620260317E001.pdf","https://www.eclat.com.tw/zh-tw/investors/",中文影音檔網址:1476_71_20260317_ch.mp4 ,"報名網址：https://www.surveycake.com/s/AdbAO","查詢"
"1477","聚陽","115/03/03","10:50","台北晶華酒店","介紹本公司之營運概況及經營策略等財務業務相關資料","147720260226M002.pdf","147720260226E002.pdf","http://www.makalot.com.tw","","無","查詢"
"1477","聚陽","115/03/17","14:30","台北茹曦酒店","介紹本公司之營運概況及經營策略等財務業務相關資料","147720260226M002.pdf","147720260226E002.pdf","http://www.makalot.com.tw","","無","查詢"
"1477","聚陽","115/03/18","09:00","台北君悅酒店","介紹本公司之營運概況及經營策略等財務業務相關資料","147720260316M001.pdf","147720260316E001.pdf","http://www.makalot.com.tw","","無","查詢"
"1477","聚陽","115/03/12","15:00","台北遠東香格里拉飯店","介紹本公司之營運概況及經營策略等財務業務相關資料","147720260226M002.pdf","147720260226E002.pdf","http://www.makalot.com.tw","","無","查詢"
"1477","聚陽","115/03/13","14:00","台北君悅酒店","介紹本公司之營運概況及經營策略等財務業務相關資料","147720260226M002.pdf","147720260226E002.pdf","http://www.makalot.com.tw","","無","查詢"
"1477","聚陽","115/03/09","13:00","台北遠東香格里拉飯店","介紹本公司之營運概況及經營策略等財務業務相關資料","147720260226M002.pdf","147720260226E002.pdf","http://www.makalot.com.tw","","無","查詢"
"1477","聚陽","115/03/04","10:00","台北君悅酒店","介紹本公司之營運概況及經營策略等財務業務相關資料","147720260226M002.pdf","147720260226E002.pdf","http://www.makalot.com.tw","","無","查詢"
"1504","東元","115/03/13","10:00","晶華酒店","本公司受邀參加華南永昌證券舉辦之2026春季產業趨勢暨
企業論壇，並就本公司營運狀況做一說明。","150420260312M003.pdf","150420260312E003.pdf","https://www.teco.com.tw/announce","","無。","查詢"
"1504","東元","115/03/12","16:00","台灣證券交易所1樓資訊展示中心
(台北市信義區信義路五段7號1樓)","說明東元電機114年第四季財務業務相關資訊。","150420260312M001.pdf","150420260312E001.pdf","https://www.teco.com.tw/announce",同步收看網址：:https://webpro.twse.com.tw 法說會影音連結資訊:https://webpro.twse.com.tw/WebPortal/vod/101/B3DC01BA1D1E-6A3BD3CA-1DF3-11F1-8D3E/?categoryId=101 ,"無。","查詢"
